Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1,2660.313,0.0,3.8387228819147694,3.68207187770524,10543.906,739.8130000000001,10802.328,101
2,2826.0,75.344,4.14918086948454,3.710846493744481,10413.578,812.484,10804.687,100
3,2818.578,246.688,4.17533419262966,3.720632675849525,10509.750000000004,843.4839999999999,10803.516000000003,99
4,2713.812,447.687,4.177469814791119,3.7223383540968378,10401.563,845.594,10803.282,98
5,2786.578,393.485,4.177333358996554,3.7298760568554887,10515.469,800.203,10802.078,97
6,2667.89,540.688,4.178105672730461,3.756907670105195,10682.156,690.172,10803.765,96
7,2530.172,554.032,4.169426750713255,3.7172463823665343,10305.344,961.906,10803.437,95
8,2446.062,585.61,4.178499777464705,3.716132392497911,10287.047,956.375,10802.125,94
9,2713.25,608.703,4.178690194193401,3.734859585823554,10409.328999999996,748.828,10801.968999999996,93
10,2676.578,522.985,4.178597106977031,3.7338946014013215,10432.078,869.438,10801.875,92
11,2394.734,614.812,4.179016949083667,3.761520207035246,10599.422,652.625,10802.188,91
12,2673.0,537.891,4.170255325585353,3.735032372658584,10431.281,822.188,10804.313,90
13,2619.578,621.594,4.1791853671260935,3.730489491022845,10345.422,906.015,10803.188,89
14,2640.016,533.735,4.179445713445421,3.738291411090827,10392.344,767.469,10803.61,88
15,2621.187,475.1410000000001,4.1797547856645245,3.7390334663127818,10436.780999999995,794.25,10802.108999999997,87
16,2616.453,518.4839999999999,4.179854576648961,3.770529044706903,10620.859,724.828,10804.093,86
17,2565.109,633.016,4.171853041375375,3.731258439425659,10336.203,920.781,10804.578,85
18,2532.531,638.515,4.179639783717689,3.7306943701125417,10323.219,924.078,10803.672,84
19,2556.593,638.734,4.180054992180052,3.7312413620884377,10315.094,898.953,10805.235,83
20,2577.891,538.765,4.174069945070663,3.740841648222675,10362.015,793.703,10805.093,82
21,2572.36,583.062,4.180243969445706,3.772116107469198,10583.125,647.718,10803.14,81
22,2697.75,679.328,4.160878235645104,3.742055147491369,10482.953,1033.156,10802.828,80
23,2683.406,608.8130000000001,4.170401928183799,3.722841272675373,10205.233999999997,953.391,10803.468999999996,79
24,2646.156,664.172,4.179668272690069,3.726035025379975,10224.953,912.953,10805.875,78
25,2593.531,699.25,4.179757059071528,3.722198390699843,10202.922,1000.187,10804.063,77
26,2604.125,670.125,4.179381275805115,3.727732960654511,10287.187,981.109,10803.328,76
27,2588.594,533.218,4.179761909304835,3.769261762894563,10556.64,844.547,10804.437,75
28,2579.203,536.094,4.17225893612502,3.734845942548099,10290.547,855.25,10805.719,74
29,2555.453,559.437,4.180576245666881,3.734257156168808,10270.016000000003,848.859,10802.656000000004,73
30,2525.609,659.266,4.180487517962948,3.729608110355376,10263.657,971.328,10801.86,72
31,2536.172,510.4690000000001,4.18039553298969,3.7376489201111713,10288.844,827.328,10803.906,71
32,2536.204,620.5310000000001,4.180559366384886,3.7712767006316943,10513.046,812.906,10803.031,70
33,2488.86,644.671,4.172113004233132,3.7275834361025737,10233.484,983.719,10803.312,69
34,2518.547,559.625,4.180373353367004,3.736748613605993,10342.875,867.219,10806.0,68
35,2485.766,616.4839999999999,4.180733041897962,3.732023122374236,10260.938000000006,924.5,10804.672000000006,67
36,2506.718,618.375,4.180279081248084,3.736146988420347,10368.281,883.109,10805.406,66
37,2459.297,632.078,4.180999495499183,3.7704183581681634,10467.235,727.922,10805.907,65
38,2488.734,512.8130000000001,4.172470795694908,3.739506841733561,10283.047,812.8589999999999,10803.266,64
39,2491.375,626.297,4.181062785086551,3.734886528034702,10327.39,906.453,10805.922,63
40,2467.328,538.14,4.181144967626914,3.738352077275674,10290.703,872.656,10803.094,62
41,2466.125,573.2660000000001,4.1812569980664405,3.739411379268239,10350.016,838.2189999999999,10806.453,61
42,2459.312999999994,632.9220000000065,4.181218970555332,3.773533838050346,10483.157,702.797,10802.875,60
43,2559.125,578.125,4.162741220330822,3.756114275425934,10399.109,966.281,10803.484,59
44,2534.156,695.1569999999999,4.171908005371084,3.7198358068800106,10155.938,1084.031,10805.922,58
45,2521.985,535.5,4.1801184107331695,3.733483673953924,10225.359000000006,886.719,10803.422000000006,57
46,2503.172,652.469,4.180978585892375,3.7280416578791296,10263.39,975.563,10802.578,56
47,2474.344,653.86,4.180622872978541,3.72857533068331,4850.0,981.609,5417.812,55
48,2349.64,646.109,4.109379346813982,3.721701574053783,10131.468,1050.625,10802.156,54
49,2560.688,704.625,4.169898025659996,3.712821603147922,10090.812000000002,1147.3429999999998,10806.281,53
50,2522.375,595.1100000000006,4.18030832398499,3.7182038065565455,10129.25,1086.719,10801.937,52
51,2488.719,642.515,4.1803883737342336,3.719537076389339,10149.016,1066.141,10805.094,51
52,2474.844,622.2339999999999,4.180539223969872,3.7220448642413615,10167.969,1039.875,10803.594,50
53,2473.875,646.75,4.180613197410378,3.761867690634048,10374.641,807.063,10803.532,49
54,2495.5,649.359,4.171995741541347,3.726122889383873,10262.047,985.016,10802.266,48
55,2481.078,640.109,4.180481328623388,3.730600464745818,10298.36,924.985,10802.11,47
56,2460.125,507.219,4.181058054860729,3.737053487600293,10254.297,891.875,10805.265,46
57,2440.547,622.407,4.18149130108492,3.728047623031362,10234.312999999998,977.203,10805.157,45
58,2449.922,624.1880000000001,4.180595098911064,3.77456194537704,10526.703,795.906,10805.312,44
59,2408.781,580.703,4.173047661044039,3.725591061358752,10206.281,994.656,10806.578,43
60,2442.547,628.187,4.180864505746636,3.732603397756829,10315.313,900.422,10803.172,42
61,2420.671,504.454,4.181146414659693,3.7398067904921697,10272.594,882.5619999999999,10803.625,41
62,2409.906,609.203,4.181695073360697,3.7303100649451735,10256.953,946.796000000002,10802.39,40
63,2416.672,588.922,4.180846468482689,3.7778249866070217,10567.906,771.3430000000001,10802.406,39
64,2395.75,591.75,4.17358432175774,3.7286540777586814,10232.719,961.031,10802.516,38
65,2410.688,614.156,4.181103233539769,3.736052210293716,10336.891,882.344,10804.938,37
66,2402.125,535.969,4.181672942091641,3.744163261838037,10293.031,825.188,10806.828,36
67,2355.265,537.797,4.181798435766776,3.728771516381452,10228.312,956.5,10804.5,35
68,2396.719,597.188,4.181361272735532,3.7755148142840578,10476.905999999995,799.2039999999946,10802.858999999997,34
69,2442.344,623.047,4.16432577440784,3.7650256788115577,10486.235,826.922,10804.594,33
70,2444.703,635.828,4.172633979258993,3.723500787098519,10201.657000000008,993.5,10806.172000000006,32
71,2412.25,554.203,4.180507540870247,3.737421436626505,10242.969,827.719,10803.406,31
72,2403.234,605.329,4.181900407397767,3.729061897427366,10274.578,931.062,10803.828,30
73,2361.047,475.297,4.181297616479253,3.7322765320578464,10235.563,949.515,10803.063,29
74,2392.468,607.7339999999999,4.181657232676167,3.775333504559289,10504.469,753.094,10803.437,28
75,2373.89,597.782,4.172972784971319,3.7291709902514185,10247.344,950.437,10806.938,27
76,2383.234,600.031,4.18131610574028,3.735763397761175,10312.547,865.0,10804.875,26
77,2342.453,468.985,4.18166924078605,3.735571248111627,10264.938,914.266,10806.891,25
78,2359.296,591.0310000000001,4.182044120407073,3.732560312682426,10314.219,890.9530000000001,10802.0,24
79,2345.453,496.312,4.1815714469098,3.781944537574745,10463.203,613.9680000000001,10803.469,23
80,2360.172,594.078,4.174449328074176,3.7384451620430825,10296.813,812.0160000000001,10806.938,22
81,2315.407,473.953,4.181914870814706,3.731489506740739,10239.578,908.047,10805.312,21
82,2322.156,548.844,4.181346159150703,3.730203258409683,10239.812,937.703,10804.609,20
83,2327.1570000000065,574.3910000000066,4.181554177966883,3.73352261179175,10266.937,909.718,10803.234,19
84,2335.0,576.203,4.181615967935099,3.7794355670494753,10518.391,752.7339999999999,10805.313,18
85,2329.375,566.172,4.173516161117117,3.73161526826322,10253.594,931.61,10806.375,17
86,2333.875,578.657,4.181332312389274,3.737312707104657,10322.891,816.172,10803.187,16
87,2317.453,456.765,4.181999698138027,3.744147062905785,10301.031,832.625,10806.031,15
88,2295.109,520.485,4.182136607973574,3.7310847141231935,10255.609,903.516,10807.141,14
89,2326.657,570.906,4.18160323028519,3.7796772440062414,10501.735,731.062,10803.141,13
90,2479.297,660.203,4.160391647622785,3.737188555214697,10209.0,1007.75,10806.86,12
91,2463.578,587.0,4.171177372817309,3.714027777294664,10086.796,1093.5,10807.406,11
92,2458.812,612.4689999999999,4.179908499745383,3.726534527864773,10210.68800000001,924.766,10803.157000000008,10
93,2400.672,551.9380000000001,4.1812209027547125,3.720088030781382,10145.078,1033.5,10802.203,9
94,2396.407,465.25000000000006,4.180715020333036,3.7300609303698606,10199.61,962.547,10803.094,8
95,2392.375,593.375,4.181433629004157,3.77405130835581,10516.204,737.1560000000001,10804.547,7
96,2373.687,555.828,4.173658812188033,3.7374201523206976,10239.891,889.985,10805.813,6
97,2385.922,595.328,4.1820632868427365,3.72809878743584,10279.844,897.39,10808.032,5
98,2345.0,445.11,4.18182200740338,3.7315362208595415,10220.375,919.938,10803.219,4
99,2363.047000000006,586.094,4.1819501512020345,3.7336523999879936,10286.766,829.875,10803.406,3
100,2316.687,473.219,4.181791330814548,3.771261368210482,10397.969,792.125,10802.032,2
101,2322.0,476.391,4.173014294511639,3.7285420558074978,10207.266,942.953,10804.016,1
102,2357.687,578.516,4.181882887350109,3.732330901050642,10302.5,875.046,10803.422,0
